ts,inst_id,ccy,interval_h,funding_rate,cap,floor,at_cap_live,at_cap_sett,borrowable,borrow_rate,borrow_quota,perp_last,spot_last
2026-07-23T19:29:23+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0013389536604703,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1269,0.1279
2026-07-23T19:29:23+00:00,O-USDT-SWAP,O,2.0,-0.0011211320021712,0.01,-0.01,False,False,False,,0.0,0.5658,
2026-07-23T19:39:50+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0013327348845679,0.01,-0.01,False,False,True,0.00572616,19200.0,0.127,0.1283
2026-07-23T19:39:50+00:00,O-USDT-SWAP,O,2.0,-0.0011108840102372,0.01,-0.01,False,False,False,,0.0,0.5687,
2026-07-23T19:50:17+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0013414100951626,0.01,-0.01,False,False,True,0.00572616,19200.0,0.126,0.1268
2026-07-23T19:50:17+00:00,O-USDT-SWAP,O,2.0,-0.001156974293385,0.01,-0.01,False,False,False,,0.0,0.5665,
2026-07-23T20:00:44+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0012730467326184,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1264,0.1273
2026-07-23T20:00:44+00:00,O-USDT-SWAP,O,2.0,-0.0012110952177964,0.01,-0.01,False,False,False,,0.0,0.5664,
2026-07-23T20:11:11+00:00,BARD-USDT-SWAP,BARD,2.0,-0.001248909480336,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1277,0.1288
2026-07-23T20:11:11+00:00,O-USDT-SWAP,O,2.0,-0.0012054950727592,0.01,-0.01,False,False,False,,0.0,0.5614,
2026-07-23T20:21:39+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0012449696668806,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1271,0.1281
2026-07-23T20:21:39+00:00,O-USDT-SWAP,O,2.0,-0.0011739709050652,0.01,-0.01,False,False,False,,0.0,0.5581,
2026-07-23T20:32:06+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0012118581453766,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1265,0.1275
2026-07-23T20:32:06+00:00,O-USDT-SWAP,O,2.0,-0.0010761832768607,0.01,-0.01,False,False,False,,0.0,0.5604,
2026-07-23T20:42:33+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0012006055197572,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1263,0.1274
2026-07-23T20:42:33+00:00,O-USDT-SWAP,O,2.0,-0.0010557035760271,0.01,-0.01,False,False,False,,0.0,0.5578,
2026-07-23T20:53:00+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0012072343188605,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1266,0.128
