ts,ccy,rate,quota,reason,inst_id,interval_h
2026-07-21T15:34:01+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,8.0
2026-07-21T15:34:01+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T15:34:01+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T15:34:01+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T15:44:13+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,4.0
2026-07-21T15:44:13+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,8.0
2026-07-21T15:44:13+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T15:44:13+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T15:44:13+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T15:54:25+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,4.0
2026-07-21T15:54:25+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,8.0
2026-07-21T15:54:25+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T15:54:25+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T15:54:25+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T16:04:37+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T16:04:37+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T16:04:37+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T16:04:37+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T16:04:37+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T16:14:49+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T16:14:49+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T16:14:49+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T16:14:49+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T16:14:49+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T16:25:00+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T16:25:00+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T16:25:00+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T16:25:00+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T16:25:00+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T16:35:12+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T16:35:12+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T16:35:12+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T16:35:12+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T16:35:12+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T16:45:25+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T16:45:25+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T16:45:25+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T16:45:25+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T16:45:25+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T16:55:38+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T16:55:38+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T16:55:38+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T16:55:38+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T16:55:38+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T17:05:50+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T17:05:50+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T17:05:50+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T17:05:50+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T17:05:50+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T17:16:02+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T17:16:02+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T17:16:02+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T17:16:02+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T17:16:02+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T17:26:14+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T17:26:14+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T17:26:14+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T17:26:14+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T17:26:14+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T17:36:26+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T17:36:26+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T17:36:26+00:00,BTC,1.392e-05,175.0,control,,0.0
