ts,n_symbols,n_1h,n_2h,n_4h,n_8h,n_other,n_pinned_live,n_at_cap_sett,n_events
2026-07-20T11:11:40+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T11:21:50+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T11:32:01+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T11:42:11+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T11:52:21+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T12:02:32+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T12:12:42+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T12:22:53+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T12:33:03+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T12:43:13+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T12:53:23+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T13:03:33+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T13:13:44+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T13:23:54+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T13:44:30+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T13:54:40+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T14:04:50+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T14:15:01+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T14:25:12+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T14:35:21+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T14:45:32+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T14:55:42+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T15:05:52+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T15:16:02+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T15:26:13+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T15:36:23+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T15:46:34+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T15:56:44+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T16:06:55+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T16:17:06+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T16:27:17+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T16:37:27+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T16:47:38+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T16:57:49+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T17:08:00+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T17:18:11+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T17:28:21+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T17:38:33+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T17:48:43+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T17:58:53+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T18:09:04+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T18:19:14+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T18:39:52+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T18:50:03+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T19:00:14+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T19:10:26+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T19:20:37+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T19:30:49+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T19:41:00+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T19:51:12+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T20:01:23+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T20:11:34+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T20:21:45+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T20:31:57+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T20:42:09+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T20:52:20+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T21:02:31+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T21:12:43+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T21:22:55+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T21:33:07+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T21:43:19+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T21:53:30+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T22:03:42+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T22:13:53+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T22:24:05+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T22:34:20+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T22:44:32+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T22:54:43+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T23:04:54+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T23:15:06+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T23:35:44+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T23:45:55+00:00,512,0,0,226,286,0,0,0,0
2026-07-20T23:56:06+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T00:06:16+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T00:16:27+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T00:26:38+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T00:36:49+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T00:46:59+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T00:57:10+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T01:07:21+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T01:17:32+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T01:27:43+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T01:37:54+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T01:48:04+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T01:58:15+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T02:08:27+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T02:18:38+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T02:28:49+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T02:39:00+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T02:49:11+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T02:59:23+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T03:09:34+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T03:19:45+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T03:29:56+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T03:40:07+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T03:50:18+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T04:00:29+00:00,512,0,0,226,286,0,0,0,0
