ts,symbol,price,funding,next_funding_ms,open_interest,oi_value,turnover_24h,chg_24h
2026-07-27T01:38:14+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T01:38:14+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T01:38:14+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T01:38:14+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T01:38:14+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T01:38:14+00:00,EURUSD,1.1406,0.0,0,0.0,0.0,0.0,0.00272527472527484
2026-07-27T01:38:14+00:00,GOLD,4101.9,0.0,0,0.0,0.0,64202938.8,0.007639775965412099
2026-07-27T01:48:51+00:00,BTCUSDT,65100.0,6.379180157328136e-06,0,2099.5041,136677716.91,185359028.19,0.010634169060001586
2026-07-27T01:48:51+00:00,ETHUSDT,1943.6,2.2188425185094674e-05,0,26855.031,52195438.2516,76438396.418,0.03548215237080443
2026-07-27T01:48:51+00:00,SOLUSDT,76.33,3.649579857417321e-05,0,212312.09,16205781.829699999,30728319.2334,0.020590988100013252
2026-07-27T01:48:51+00:00,XRPUSDT,1.1059,2.836724609560087e-05,0,12070782.0,13349077.813800002,20433100.525500003,0.0059489157327901054
2026-07-27T01:48:51+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T01:48:51+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T01:48:51+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T01:48:51+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T01:48:51+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T01:48:51+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T01:48:51+00:00,EURUSD,1.1413,0.0,0,0.0,0.0,0.0,0.003340659340659302
2026-07-27T01:48:51+00:00,GOLD,4104.0,0.0,0,0.0,0.0,66045672.0,0.008155645082047691
2026-07-27T02:10:28+00:00,BTCUSDT,65136.0,9.337926449568006e-06,0,2102.955,136978076.88,186787400.21280003,0.011538521267839608
2026-07-27T02:10:28+00:00,ETHUSDT,1946.6,2.6000333177634843e-05,0,27194.63,52937066.758,77783998.6332,0.03702519844440899
2026-07-27T02:10:28+00:00,SOLUSDT,76.42,2.377873525964004e-05,0,211962.1,16198143.682,30949843.228800002,0.022477923468022576
2026-07-27T02:10:28+00:00,XRPUSDT,1.10714,2.352462919684954e-05,0,12087215.0,13382239.2151,20472897.41658,0.007782703283299552
2026-07-27T02:10:28+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T02:10:28+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T02:10:28+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T02:10:28+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T02:10:28+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T02:10:28+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T02:10:28+00:00,EURUSD,1.1414,0.0,0,0.0,0.0,0.0,0.0034285714285713365
2026-07-27T02:10:28+00:00,GOLD,4111.3,0.0,0,0.0,0.0,69563196.0,0.009948904392257152
2026-07-27T02:21:06+00:00,BTCUSDT,65151.0,9.335776537874501e-06,0,2102.0401,136950014.55510002,187642359.33479998,0.01170861996676864
2026-07-27T02:21:06+00:00,ETHUSDT,1945.2,2.601904614619781e-05,0,26902.575,52330888.89,79668093.60960001,0.03666595608612244
2026-07-27T02:21:06+00:00,SOLUSDT,76.49,2.375697409519796e-05,0,211808.67,16201245.1683,30287739.1808,0.02382545843929873
2026-07-27T02:21:06+00:00,XRPUSDT,1.10669,2.353419473294238e-05,0,12088860.0,13378620.473399999,20462851.92991,0.007418937862981645
2026-07-27T02:21:06+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T02:21:06+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T02:21:06+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T02:21:06+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T02:21:06+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T02:21:06+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T02:21:06+00:00,EURUSD,1.1412,0.0,0,0.0,0.0,0.0,0.003252747252747268
2026-07-27T02:21:06+00:00,GOLD,4107.5,0.0,0,0.0,0.0,71593725.0,0.009015426943106863
2026-07-27T02:31:44+00:00,BTCUSDT,65073.0,9.34696690208015e-06,0,2110.6047,137343379.6431,188900255.52479997,0.010450310559006137
2026-07-27T02:31:44+00:00,ETHUSDT,1942.8,2.605118826620547e-05,0,26872.115,52207145.022,79996639.5456,0.03544209348185268
2026-07-27T02:31:44+00:00,SOLUSDT,76.43,2.3775624081403792e-05,0,211589.33,16171772.4919,30317238.9382,0.023022353098648196
2026-07-27T02:31:44+00:00,XRPUSDT,1.1051,2.3568055351551896e-05,0,12115193.0,13388499.7843,20572216.7006,0.006319661980039193
2026-07-27T02:31:44+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T02:31:44+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T02:31:44+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T02:31:44+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T02:31:44+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T02:31:44+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T02:31:44+00:00,EURUSD,1.1413,0.0,0,0.0,0.0,0.0,0.003340659340659302
2026-07-27T02:31:44+00:00,GOLD,4105.7,0.0,0,0.0,0.0,72921337.7,0.008573253414562165
2026-07-27T02:42:21+00:00,BTCUSDT,65207.0,9.32775894028343e-06,0,2104.1519,137205432.94329998,191905420.3709,0.012798409518040454
2026-07-27T02:42:21+00:00,ETHUSDT,1945.4,2.6016371215988476e-05,0,26775.629,52089308.656600006,80726400.1068,0.036551577152600156
2026-07-27T02:42:21+00:00,SOLUSDT,76.61,2.3719761761410936e-05,0,211226.03,16182026.1583,30553358.8785,0.024882943143812675
2026-07-27T02:42:21+00:00,XRPUSDT,1.10696,2.3528454478029923e-05,0,12125012.0,13421903.28352,20625586.06744,0.007848207294644416
2026-07-27T02:42:21+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T02:42:21+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T02:42:21+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
2026-07-27T02:42:21+00:00,RELIANCE,1280.5,0.0,0,0.0,0.0,12570668500.0,0.006524131425876378
2026-07-27T02:42:21+00:00,NIFTY,23767.45,0.0,0,0.0,0.0,0.0,-0.004279501960652743
2026-07-27T02:42:21+00:00,SENSEX,76059.77,0.0,0,0.0,0.0,0.0,-0.004341195474883208
2026-07-27T02:42:21+00:00,EURUSD,1.1412,0.0,0,0.0,0.0,0.0,0.003252747252747268
2026-07-27T02:42:21+00:00,GOLD,4102.7,0.0,0,0.0,0.0,74242459.2,0.007836297533654335
2026-07-27T02:53:01+00:00,BTCUSDT,65093.0,9.344095021262833e-06,0,2091.2343,136124714.2899,193864151.5706,0.009914047227480127
2026-07-27T02:53:01+00:00,ETHUSDT,1941.0,2.6075347018848007e-05,0,26785.174,51990022.734,80613184.98,0.03288633461047241
2026-07-27T02:53:01+00:00,SOLUSDT,76.35,2.380053632667573e-05,0,211181.23,16123686.9105,30433412.346,0.020312708806628388
2026-07-27T02:53:01+00:00,XRPUSDT,1.10499,2.3570401514040853e-05,0,12117462.0,13389674.33538,20603540.77593,0.004490704967955894
2026-07-27T02:53:01+00:00,AAPL,333.02,0.0,0,0.0,0.0,15805453894.5,0.03531679413044819
2026-07-27T02:53:01+00:00,SPY,738.93,0.0,0,0.0,0.0,30651406805.07,0.0010160123547102717
2026-07-27T02:53:01+00:00,NASDAQ,24975.824,0.0,0,0.0,0.0,156642573736832.0,-0.00643957084379243
