symbol,announce_ts,delist_ts,notice_h,pre_abn_pct,post_abn_pct,incremental_pct,pre_turnover_usd,post_turnover_usd,bars_pre,bars_post
SPELLUSDT,2026-04-07T06:04:26+00:00,2026-04-09T06:00:00+00:00,47.9,-2.442,-2.495,-0.053,266512.0,213776.0,48,47
NFPUSDT,2026-04-07T06:03:41+00:00,2026-04-09T06:00:00+00:00,47.9,-4.413,0.133,4.546,58283.0,227203.0,48,48
PONKEUSDT,2026-04-07T06:03:29+00:00,2026-04-09T06:00:00+00:00,47.9,-2.45,-2.711,-0.26,849399.0,597143.0,48,48
SXPUSDT,2026-04-01T06:15:40+00:00,2026-04-03T06:00:00+00:00,47.7,-53.984,-19.565,34.419,5544115.0,1113866.0,48,48
HOOKUSDT,2026-04-01T06:15:29+00:00,2026-04-03T06:00:00+00:00,47.7,-11.131,5.854,16.985,1885246.0,572387.0,48,47
NTRNUSDT,2026-04-01T06:14:33+00:00,2026-04-03T06:00:00+00:00,47.8,-49.182,98.936,148.118,3017289.0,648631.0,48,47
L3USDT,2026-04-01T06:14:23+00:00,2026-04-03T06:00:00+00:00,47.8,-2.045,-1.709,0.336,327721.0,216604.0,48,48
SYSUSDT,2026-04-01T06:13:21+00:00,2026-04-03T06:00:00+00:00,47.8,-2.611,6.105,8.717,60865.0,89441.0,48,48
COOKUSDT,2026-03-25T09:50:29+00:00,2026-03-27T09:00:00+00:00,47.2,-4.363,3.973,8.335,78757.0,108781.0,48,48
AVLUSDT,2026-03-25T09:50:40+00:00,2026-03-27T09:00:00+00:00,47.2,-2.5,6.567,9.067,308380.0,233259.0,48,48
VFYUSDT,2026-03-25T09:50:51+00:00,2026-03-27T09:00:00+00:00,47.2,-3.474,-3.326,0.148,485831.0,333918.0,48,47
CTSIUSDT,2026-03-17T09:31:37+00:00,2026-03-19T09:00:00+00:00,47.5,-0.384,0.38,0.764,97513.0,365953.0,48,48
XCHUSDT,2026-03-17T09:30:53+00:00,2026-03-19T09:00:00+00:00,47.5,-1.049,-1.875,-0.826,520216.0,378701.0,48,47
DODOUSDT,2026-03-04T09:02:28+00:00,2026-03-06T09:00:00+00:00,48.0,-0.952,-5.266,-4.314,660118.0,183389.0,48,47
SDUSDT,2026-03-04T09:02:43+00:00,2026-03-06T09:00:00+00:00,48.0,-4.658,6.83,11.487,351505.0,224176.0,48,48
ALUUSDT,2026-03-04T09:03:04+00:00,2026-03-06T09:00:00+00:00,47.9,-0.844,-8.362,-7.518,323802.0,98531.0,48,47
SKYAIUSDT,2026-03-04T09:02:53+00:00,2026-03-06T09:00:00+00:00,48.0,21.027,-11.709,-32.737,4277073.0,1025719.0,48,48
DGBUSDT,2026-02-25T11:00:06+00:00,2026-02-27T11:00:00+00:00,48.0,-1.918,2.074,3.991,506529.0,121963.0,48,47
IDEXUSDT,2026-02-25T10:59:53+00:00,2026-02-27T11:00:00+00:00,48.0,-0.162,0.615,0.777,676268.0,249095.0,48,48
NSUSDT,2026-02-25T10:59:42+00:00,2026-02-27T11:00:00+00:00,48.0,10.968,7.38,-3.588,556817.0,142858.0,48,48
OBTUSDT,2026-02-25T10:59:31+00:00,2026-02-27T11:00:00+00:00,48.0,0.98,4.243,3.263,93965.0,269053.0,48,48
A2ZUSDT,2026-02-25T10:59:21+00:00,2026-02-27T11:00:00+00:00,48.0,1.891,-7.71,-9.601,83226.0,106680.0,48,48
OMUSDT,2026-02-13T09:06:19+00:00,2026-02-20T09:00:00+00:00,167.9,7.928,6.001,-1.927,8328542.0,30554669.0,48,48
1000XUSDT,2026-02-09T08:54:51+00:00,2026-02-11T09:00:00+00:00,48.1,1.471,0.826,-0.645,958005.0,116020.0,48,48
SAROSUSDT,2026-02-09T08:55:01+00:00,2026-02-11T09:00:00+00:00,48.1,-5.638,-4.104,1.534,681242.0,191252.0,48,48
CUDISUSDT,2026-02-09T08:55:11+00:00,2026-02-11T09:00:00+00:00,48.1,-9.356,4.04,13.397,610203.0,237224.0,48,48
YALAUSDT,2026-02-05T09:48:13+00:00,2026-02-07T09:00:00+00:00,47.2,-23.091,-8.134,14.957,1986674.0,1034102.0,48,47
DENTUSDT,2026-02-04T08:44:20+00:00,2026-02-06T09:00:00+00:00,48.3,1.877,0.383,-1.493,227894.0,121596.0,48,48
ZEUSUSDT,2026-02-04T08:44:31+00:00,2026-02-06T09:00:00+00:00,48.3,-10.429,110.95,121.38,1108433.0,324004.0,48,48
10000ELONUSDT,2026-02-04T08:44:53+00:00,2026-02-06T09:00:00+00:00,48.3,14.379,-5.868,-20.247,1057325.0,113575.0,48,48
